V_rec - V_true, 0.1 V, 0.4 V, 0.7 V, 1.0 V, Gaussian, 0.1 V, 0.4 V, 0.7 V, 1.0 V, Gaussian, 0.1 V, 0.4 V, 0.7 V, 1.0 V, Gaussian, 0.1 V, 0.4 V, 0.7 V, 1.0 V, Gaussian
  0.100000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   3.000000,   3.000000,   3.000000,   3.000000,   0.546705,  17.000000,  20.000000,  30.000000,  30.000000,  53.502566,  11.000000,  24.000000,  39.000000,  50.000000,  67.194422
  0.120000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.030835,   8.000000,   8.000000,  13.000000,  15.000000,  27.343005,  23.000000,  42.000000,  60.000000,  70.000000,  62.631402
  0.140000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.001024,   5.000000,   5.000000,   6.000000,  10.000000,  12.110763,  13.000000,  26.000000,  39.000000,  48.000000,  57.140157
  0.160000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000020,   7.000000,   7.000000,   9.000000,   9.000000,   4.648902,  17.000000,  27.000000,  42.000000,  49.000000,  51.024776
  0.180000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   2.000000,   2.000000,   5.000000,   5.000000,   1.546617,  10.000000,  13.000000,  20.000000,  27.000000,  44.597567
  0.200000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   1.000000,   1.000000,   1.000000,   1.000000,   0.000000,   1.000000,   1.000000,   1.000000,   1.000000,   0.445932,  12.000000,  18.000000,  23.000000,  24.000000,  38.153257
  0.220000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   1.000000,   1.000000,   1.000000,   1.000000,   0.111432,   7.000000,  17.000000,  22.000000,  24.000000,  31.947909
  0.240000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   1.000000,   1.000000,   1.000000,   1.000000,   0.024132,   4.000000,   6.000000,   9.000000,  10.000000,  26.184462
  0.260000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   1.000000,   1.000000,   1.000000,   1.000000,   0.004529,   7.000000,  15.000000,  17.000000,  17.000000,  21.005607
  0.280000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000737,   8.000000,  13.000000,  13.000000,  13.000000,  16.493667
  0.300000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000104,   5.000000,   7.000000,  12.000000,  12.000000,  12.676214
  0.320000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000013,   5.000000,   5.000000,   5.000000,   5.000000,   9.535694
  0.340000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000001,   3.000000,   5.000000,   5.000000,   5.000000,   7.021105
  0.360000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   2.000000,   2.000000,   3.000000,   3.000000,   5.059982
  0.380000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   2.000000,   2.000000,   2.000000,   2.000000,   3.569298
  0.400000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   1.000000,   1.000000,   3.000000,   3.000000,   2.464377
  0.420000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   2.000000,   2.000000,   2.000000,   2.000000,   1.665412
  0.440000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   2.000000,   2.000000,   1.101607
  0.460000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   1.000000,   1.000000,   0.713218
  0.480000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   1.000000,   1.000000,   0.451968
